,Indecsi KMO
RN,0.5471531057078232
RM,0.7998278811380445
RMI,0.3363336037721819
Emigranti,0.5614412874027079
Imigranti,0.3817832060204397
RS,0.5567666012582229
Sal,0.6548936407167238
CSom,0.28082247943305166
AjSoc,0.6220518503769786
Pensie,0.6082760155693133
PopScolara,0.6457178148123514
PaturiUS,0.5514081633606368
Medici,0.5522255494842101
VolumeB,0.540970442286364
SpectatoriS,0.4798572873084313
VizitatoriM,0.45500190933306783
SportiviL,0.45052826243839394
PIB,0.6881366333331267
SalariatiC,0.7844220833868867
PAgrVeg,0.578170182721751
PAgrAnim,0.7159549366526635
ServAgr,0.12721246804858066
Silvicultura,0.19889742982848183
SupLoc,0.5169673743355399
DrumuriM,0.3711207564041628
Innoptari,0.3228214363190431
BugetVenituri,0.3690032733060138
BugetSubventii,0.6194275256556664
Apa,0.5027203862070528
Canal,0.7151437288879047
Export,0.555392115162205
Index Global,0.5471558359592015
