Code,Partitie,Indecsi Sihlouette
ALB,C2,0.17569258022703463
AUT,C1,0.2240534435762523
BLR,C2,0.43248471410813977
BEL,C1,0.6180613521596893
BIH,C2,0.31482427497174464
BGR,C2,0.35867836035981193
HRV,C2,0.4028726774542771
CZE,C2,0.18389832753551286
CYP,C2,0.13122825311726574
DNK,C1,0.36060365616167617
GBR,C1,0.5924777811117922
EST,C2,0.29451582567450485
FIN,C2,0.10434392557771045
FRA,C1,0.6103856741292116
DEU,C1,0.5215493634022924
GRC,C2,0.16779597906413535
HUN,C2,0.3049771353150805
ISL,C1,0.41353350222533247
IRL,C1,0.5086556904793857
ITA,C1,0.3979034604659901
LVA,C2,0.2884457354109301
LTU,C2,0.3277888181447175
MKD,C2,0.3359696235095114
MLT,C1,0.20806379908221936
MDA,C2,0.3866843856522533
MNE,C2,0.30302465140287804
NLD,C1,0.5983463490691948
NOR,C1,0.2689689156305368
POL,C2,0.3168278306757427
PRT,C1,0.5414330330479491
ROU,C2,0.3718350941844409
RUS,C2,0.41144558321522506
SRB,C2,0.38588403495015494
SVK,C2,0.3950356267960967
SVN,C2,0.3465791879100829
ESP,C1,0.5438883119930759
SWE,C1,0.1451669106206024
CHE,C1,0.5939945007820131
UKR,C2,0.4390281235528132
