Judet,Barbati_18-24,Barbati_25-34,Barbati_35-44,Barbati_45-64,Barbati_65_,Femei_18-24,Femei_25-34,Femei_35-44,Femei_45-64,Femei_65_
ab,4.60746,6.91582,8.95081,20.61124,11.09237,4.02736,6.07625,8.05286,19.19712,10.46872
ag,4.14873,6.46808,9.7525,21.32407,11.08446,3.63815,5.48871,8.24251,19.64466,10.20812
ar,4.37676,7.3424,9.71717,20.49181,10.3454,3.89712,6.48217,8.61276,18.72616,10.00825
b,2.80937,7.3691,11.59285,17.42253,9.45065,2.63559,7.7508,11.14676,18.84954,10.97281
bc,4.16475,5.64675,8.57431,21.38383,11.71922,3.72827,5.21624,7.90497,19.93587,11.72579
bh,4.61164,7.36974,9.8547,19.57606,9.49642,4.28656,6.72708,9.17134,18.9109,9.99555
bn,4.72163,7.17568,9.02103,20.42874,10.86397,4.57848,6.35165,8.21023,18.85045,9.79814
br,3.5339,5.29493,8.28926,22.20786,12.70901,2.84491,4.37469,7.45559,20.50969,12.78016
bt,4.67204,5.61938,8.62537,21.0804,12.07365,4.08265,5.37106,8.05566,18.89993,11.51987
bv,3.65946,7.01861,10.18521,18.8065,11.32834,3.23018,6.54997,9.12625,18.95181,11.14367
bz,4.24894,5.82816,8.41061,21.8298,12.23307,3.4506,5.03362,7.47947,19.59567,11.89005
cj,3.80905,8.41581,10.70239,18.34064,10.15474,3.58682,8.35965,9.60374,17.24199,9.78517
cl,4.48384,6.7889,8.8659,22.16796,10.9197,3.66567,5.64475,7.89955,18.96743,10.5963
cs,4.29119,6.33141,8.62555,22.03362,12.70091,3.66656,5.43001,6.98398,18.24899,11.68778
ct,3.68207,6.05893,9.27234,20.03867,11.12406,3.29687,6.12457,9.1034,20.30582,10.99328
cv,3.76261,5.56528,9.084,18.58685,12.06546,3.50282,5.55997,8.76765,19.70733,13.39802
db,4.34299,6.76947,9.25872,21.06018,10.98907,3.65613,5.66678,8.1168,19.17077,10.96909
dj,4.06703,6.6319,9.35125,21.17765,11.22189,3.54024,5.81245,8.28472,18.70634,11.20653
gj,4.52133,6.32569,9.65137,23.82317,9.72213,3.83733,5.59633,8.54644,19.75724,8.21895
gl,3.85224,5.61043,8.75953,21.83344,12.08489,3.41702,4.91818,7.92113,19.51055,12.09258
gr,4.76682,7.90658,9.49798,20.8936,10.76963,3.72393,6.1922,7.71842,17.69726,10.83358
hd,3.75277,5.35894,7.90489,23.20293,11.85454,3.3327,4.75872,7.2696,21.13205,11.43288
hr,3.64252,5.79104,9.37927,18.75654,11.28247,3.74206,5.8775,9.30487,19.4593,12.76442
if,3.86681,8.56282,13.12842,19.35167,7.16368,3.30147,8.28667,11.69553,17.47695,7.16598
il,4.25632,6.04263,8.31322,22.98747,12.01488,3.50727,4.83612,7.27261,19.42992,11.33957
is,4.90168,7.5493,10.06494,19.44579,10.39964,4.51145,6.96395,8.83917,17.26911,10.05497
mh,4.38081,6.29223,8.74933,21.7945,11.12453,3.65596,5.42713,8.11561,19.17359,11.28629
mm,4.51322,6.75885,9.17283,20.71167,11.03945,4.19195,6.16999,8.37414,18.87109,10.19683
ms,4.36649,6.10767,8.81749,20.10974,11.70427,3.86533,5.61113,8.14862,18.82416,12.44511
nt,4.31572,5.55568,8.43036,21.36714,12.24001,3.6464,5.24476,8.02149,19.52168,11.65676
ot,4.21405,6.24737,8.8467,22.57442,11.8182,3.3422,5.10137,7.5452,18.78339,11.5271
ph,4.0396,6.04485,8.67461,21.40056,11.47389,3.55553,5.29525,7.84891,20.47836,11.18844
sb,3.96875,7.52375,10.38446,19.07832,9.84741,3.79249,7.16461,9.34676,18.61987,10.27358
sj,4.73802,6.96221,8.94805,20.59977,10.32968,4.33891,6.14875,8.16508,18.7733,10.99624
sm,4.11574,6.42702,9.56407,20.49677,9.53676,3.9093,6.12992,9.03868,20.03364,10.74811
sv,4.93767,6.61191,9.01909,20.6343,11.07407,4.50441,6.22774,8.17655,18.78882,10.02546
tl,3.88811,5.58153,8.53281,22.27917,12.55609,3.06768,4.84371,7.71989,20.48813,11.0429
tm,3.83597,8.60665,11.28024,19.3292,9.28288,3.52632,8.01084,9.70429,17.45926,8.96435
tr,3.8828,5.69886,7.94001,21.53506,14.43997,3.02385,4.40343,6.70067,17.48749,14.88785
vl,3.81352,5.63943,8.41554,22.31064,12.67964,3.3466,4.92996,7.53438,19.71985,11.61044
vn,3.80702,5.85274,8.37349,20.8785,12.60177,3.30561,5.08841,7.67464,19.33907,13.07875
vs,4.65224,5.55803,8.35726,22.72543,12.25536,3.85867,4.79681,7.3332,18.98302,11.47998
