County,UDMR,PMP,PSD,PNL,USR_PLUS,PRO_ROMANIA,PPU_SL,AUR,PER
ab,3.03,4.42,22.3,36.72,14.96,3.24,1.19,12.92,1.23
ag,0.2,4.89,44.96,19.13,15.08,5.43,0.96,8.2,1.16
ar,6.43,4.54,23.6,28.66,15.26,4.07,1.82,14.42,1.2
b,0.22,6.68,27.82,21.96,32.57,3.62,0.75,5.03,1.34
bc,0.97,5.24,37.2,22.1,13.51,4.06,1.88,12.75,2.29
bh,22.0,2.24,19.84,34.86,7.07,3.73,0.75,8.86,0.65
bn,3.81,9.74,30.05,32.69,8.46,3.03,1.48,9.54,1.19
br,0.37,5.07,45.74,18.66,10.16,4.81,1.83,12.1,1.26
bt,0.37,3.4,44.94,20.47,7.88,5.79,1.47,14.72,0.96
bv,5.13,3.72,21.19,27.37,27.81,3.69,1.06,8.12,1.91
bz,0.19,9.62,47.58,16.84,8.98,7.49,1.04,8.27,0.0
cj,12.29,4.28,14.04,33.38,24.24,3.26,1.02,6.19,1.3
cl,0.11,3.22,45.44,29.47,6.91,2.86,1.56,9.71,0.72
cs,0.61,6.16,33.91,34.69,7.4,4.65,1.34,7.71,3.53
ct,0.3,4.84,25.75,27.92,19.13,3.55,1.35,14.76,2.39
cv,72.67,1.86,8.15,5.21,4.83,2.79,0.99,3.04,0.46
db,0.3,4.23,46.58,24.25,9.29,5.68,0.81,7.79,1.08
dj,0.29,5.34,47.22,25.13,11.11,3.87,0.88,5.24,0.93
gj,0.69,5.17,41.28,27.35,8.89,6.65,0.62,8.2,1.15
gl,0.49,5.16,38.13,23.25,14.26,4.96,1.96,10.19,1.61
gr,0.26,2.85,32.62,47.68,5.24,4.65,0.54,5.69,0.47
hd,2.52,3.41,40.92,23.83,10.71,5.15,1.01,10.87,1.56
hr,86.65,1.01,4.19,3.18,2.04,0.69,0.46,1.36,0.41
if,0.3,4.24,24.98,31.96,22.53,5.5,0.92,8.68,0.9
il,0.45,2.89,40.84,20.81,8.53,10.88,1.53,13.26,0.81
is,0.26,5.17,27.13,25.82,21.34,4.04,1.6,13.27,1.38
mh,0.32,7.54,41.79,35.81,4.3,3.94,0.75,5.05,0.5
mm,5.21,9.23,26.73,28.63,14.86,4.33,1.17,8.31,1.53
ms,39.31,4.47,16.03,17.09,10.66,3.86,0.52,7.33,0.73
nt,0.19,4.61,34.61,23.94,13.55,4.72,1.76,14.81,1.8
ot,0.21,2.96,59.15,20.24,5.3,4.85,1.03,5.93,0.32
ph,0.42,6.42,33.37,30.52,18.34,5.72,1.83,0.0,3.37
sb,1.26,4.05,14.01,42.52,23.87,2.43,0.83,9.05,1.98
sj,24.79,3.03,21.04,27.71,12.51,2.83,0.75,6.5,0.82
sm,38.36,2.76,15.48,20.88,9.41,5.51,0.59,6.23,0.77
sv,0.43,6.42,29.47,25.44,10.96,4.43,5.64,15.2,2.0
tl,0.5,3.29,31.92,28.42,11.55,6.37,1.08,13.9,2.97
tm,2.64,5.77,20.09,25.42,30.33,4.11,1.21,8.98,1.44
tr,0.36,2.39,43.32,39.45,5.12,3.61,0.94,4.07,0.74
vl,0.45,4.78,40.78,28.59,9.3,3.86,1.31,8.72,2.21
vn,0.15,3.83,33.66,34.47,8.27,3.12,2.03,13.44,1.03
vs,0.73,3.86,39.63,22.2,11.05,6.62,1.55,13.05,1.31
