,U1,U2,U3,U4,U5,U6,U7,U8,U9
UDMR,-0.8824818012399874,-0.13500523210078122,-0.26435181442882544,0.11628233116042905,-0.13601841471803078,-0.12364687086972086,-0.09837369583534417,0.22964909353969762,0.1529390317723011
PMP,0.21145992636237884,-0.06915473356881793,0.25949825399327164,-0.2769008215891623,0.368250501487793,0.40307050716376025,0.5399546536367517,0.2358299820632882,-0.40155676999676215
PSD,0.7672640935408866,-0.17266067489387538,-0.33771624008914214,0.26684192404203677,-0.04447724883517708,0.12386227336141725,0.21523195551909577,-0.23524856628903038,-0.27793966938497305
PNL,0.4911247537478906,0.5539857391406997,0.05726882181650892,-0.4003782067706356,0.21014385652197945,0.3130457614634255,-0.2999531162817558,-0.02112046666025716,0.23608857531106742
USR_PLUS,-0.044340576633154875,0.34838801766427846,0.9180880348221008,0.02460941125516895,-0.0538431095593053,-0.026481018897713933,0.11050517024652877,-0.10495653102064256,-0.0796294464503673
PRO_ROMANIA,0.6829705882172722,-0.22312036896422388,0.02070793886450353,0.17065315451236665,-0.12703028609777423,-0.4432424289967537,0.13749431904803536,0.45880164759841224,-0.11051232803593776
PPU_SL,0.13548477716664792,-0.3727356273020852,0.15454521883377825,-0.3232812495563117,0.35006890875605473,-0.17478470235562257,-0.37830999740154025,-0.20247637806131413,-0.6140879134576346
AUR,0.3857863540160782,-0.3668472553993851,0.22092917106859722,-0.43825862418506967,0.21962752223444762,-0.49047553630037893,0.0749868391331498,-0.4084755204093747,0.12014109584301137
PER,0.25685581661043017,-0.4362923135166745,0.639950040550183,-0.05096684178098832,0.10751149833349703,0.3990443957237735,-0.3753160540066255,0.03770190352677684,0.13587386548267394
